"ap_invoice_no","block_flag","supplier_delivery_note_no","po_no","invoice_no","adr_company_id","invoice_date","invoice_image_nm","received_date","net_amount","net_days","cash_discount_days","cash_discount_per","total_amount_with_tax","net_amount_date","cash_discount_date","user_id","payment_method","payment_date","valuta_date","collective_payment","pay_flag","create_date","correction_flag","copy_to_invoice_error_file","property_id","contact_person_id","total_amount_paid","completed_flag","reminder_no","reminder_date","company_id","handover_to_other_emp","handover_reason","delivery_terms_id","packagingcost","freight_type_id","transportation_type","discount_per","discount_days","dept_id","total_tax","archive","freight_amt","other_cost","exciseable","round_val","country_id","currency_id","exchange_rate","exchange_rate_date","inclusive_price","sub_company_id","pckg_cost_prop_flag","net_amount_deci","other_cost_forex","insu_amt","insu_perc","calc_prop_flag","debit_credit_flag","transport_packing_calcon","freight_calcon","insu_calcon","pckg_cost_prop_flag1","approved_by","final_approval_flag","pending_flag","total_octroi","transport_packing_perc","freight_perc","so_no","voucher_no","voucher_date","discount_amount","cash_discount_amount","calc_local_curr","warehouse_id","type_flag","approval_date","consignee_accnt_flag","consignor_adr_company_id","landed_cost","company_id","fin_transac_no","fin_year","sub_company_id","adr_company_id","account_head_id","invoice_no","invoice_date","challan_no","challan_date","voucher_no","voucher_date","bill_no","ref_voucher_no","ref_voucher_date","ref_account_head_id","ref_company_id","transac_type","total_amount","balance_type","final_approval_flag","approved_by","country_id","currency_name","currency_symbol","exchange_rate","project_no","modify_date","approval_date","extra_txt_fld1","extra_txt_fld2","extra_txt_fld3","extra_txt_fld4","extra_date_fld1","extra_date_fld2","extra_num_fld1","extra_num_fld2","archive","voucher_text_type_id","pending_flag","op_flag","creation_date"
"INV-16-17-0857","0",NULL,NULL,"39/16-17","2025","2016-04-29",,"2016-04-19",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000216|2016-04-29|000020","2016-04-29",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","8839","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX000216|2016-04-29|000020","2016-04-29",,,"0000-00-00",,,"9","2950000","cr","1","EMP155",,,,"0",,"2016-04-29 16:06:16","2016-04-29",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-0857","0",NULL,NULL,"39/16-17","2025","2016-04-29",,"2016-04-19",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000216|2016-04-29|000020","2016-04-29",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","8840","04-2016_03-2017","000020",,"3317",,NULL,,NULL,"EX000216|2016-04-29|000020","2016-04-29",,,"0000-00-00",,,"9","2950000","dr","1","EMP155",,,,"0",,"2016-04-29 16:06:16","2016-04-29","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-1546","0",NULL,NULL,"138/16-17","2025","2016-05-26",,"2016-05-16",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000490|2016-05-26|000020","2016-05-26",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","16491","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX000490|2016-05-26|000020","2016-05-26",,,"0000-00-00",,,"9","2950000","cr","1","EMP155",,,,"0",,"2016-05-26 16:07:10","2016-05-26",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-1546","0",NULL,NULL,"138/16-17","2025","2016-05-26",,"2016-05-16",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000490|2016-05-26|000020","2016-05-26",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","16492","04-2016_03-2017","000020",,"3317",,NULL,,NULL,"EX000490|2016-05-26|000020","2016-05-26",,,"0000-00-00",,,"9","2950000","dr","1","EMP155",,,,"0",,"2016-05-26 16:07:10","2016-05-26","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-1556","0",NULL,NULL,"163/16-17","2025","2016-05-26",,"2016-05-23",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000500|2016-05-26|000020","2016-05-26",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","16546","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX000500|2016-05-26|000020","2016-05-26",,,"0000-00-00",,,"9","2950000","cr","1","EMP155",,,,"0",,"2016-05-26 17:09:32","2016-05-26",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-1556","0",NULL,NULL,"163/16-17","2025","2016-05-26",,"2016-05-23",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000500|2016-05-26|000020","2016-05-26",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","16547","04-2016_03-2017","000020",,"3317",,NULL,,NULL,"EX000500|2016-05-26|000020","2016-05-26",,,"0000-00-00",,,"9","2950000","dr","1","EMP155",,,,"0",,"2016-05-26 17:09:32","2016-05-26","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-1611","0",NULL,NULL,"145/16-17","2025","2016-05-30",,"2016-05-16",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000555|2016-05-30|000020","2016-05-30",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","17239","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX000555|2016-05-30|000020","2016-05-30",,,"0000-00-00",,,"9","2950000","cr","1","EMP155",,,,"0",,"2016-05-30 14:56:51","2016-05-30",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-1611","0",NULL,NULL,"145/16-17","2025","2016-05-30",,"2016-05-16",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000555|2016-05-30|000020","2016-05-30",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","17240","04-2016_03-2017","000020",,"3317",,NULL,,NULL,"EX000555|2016-05-30|000020","2016-05-30",,,"0000-00-00",,,"9","2950000","dr","1","EMP155",,,,"0",,"2016-05-30 14:56:51","2016-05-30","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-2240","0",NULL,NULL,"194/16-17","2025","2016-06-22",,"2016-05-30",NULL,NULL,NULL,NULL,"2165000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2165000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000808|2016-06-22|000020","2016-06-22",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","196119","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX000808|2016-06-22|000020","2016-06-22",,,"0000-00-00",,,"9","2165000","cr","1","EMP155",,,,"0",,"2016-06-22 16:47:22","2016-06-22",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-2240","0",NULL,NULL,"194/16-17","2025","2016-06-22",,"2016-05-30",NULL,NULL,NULL,NULL,"2165000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2165000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000808|2016-06-22|000020","2016-06-22",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","196120","04-2016_03-2017","000020",,"86",,NULL,,NULL,"EX000808|2016-06-22|000020","2016-06-22",,,"0000-00-00",,,"9","2165000","dr","1","EMP155",,,,"0",,"2016-06-22 16:47:22","2016-06-22","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-2270","0",NULL,NULL,"265/16-17","2025","2016-06-23",,"2016-06-20",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000817|2016-06-23|000020","2016-06-23",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","196393","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX000817|2016-06-23|000020","2016-06-23",,,"0000-00-00",,,"9","2950000","cr","1","EMP155",,,,"0",,"2016-06-23 11:52:16","2016-06-23",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-2270","0",NULL,NULL,"265/16-17","2025","2016-06-23",,"2016-06-20",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX000817|2016-06-23|000020","2016-06-23",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","196394","04-2016_03-2017","000020",,"86",,NULL,,NULL,"EX000817|2016-06-23|000020","2016-06-23",,,"0000-00-00",,,"9","2950000","dr","1","EMP155",,,,"0",,"2016-06-23 11:52:16","2016-06-23","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-3914","0",NULL,NULL,"454/16-17","2025","2016-08-08",,"2016-07-28",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX001418|2016-08-08|000020","2016-08-08",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","213802","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX001418|2016-08-08|000020","2016-08-08",,,"0000-00-00",,,"9","2950000","cr","1","EMP155",,,,"0",,"2016-08-08 16:18:45","2016-08-08",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-3914","0",NULL,NULL,"454/16-17","2025","2016-08-08",,"2016-07-28",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX001418|2016-08-08|000020","2016-08-08",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","213803","04-2016_03-2017","000020",,"86",,NULL,,NULL,"EX001418|2016-08-08|000020","2016-08-08",,,"0000-00-00",,,"9","2950000","dr","1","EMP155",,,,"0",,"2016-08-08 16:18:45","2016-08-08","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-3963","0",NULL,NULL,"492/16-17","2025","2016-08-09",,"2016-08-08",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX001437|2016-08-09|000020","2016-08-09",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","214223","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX001437|2016-08-09|000020","2016-08-09",,,"0000-00-00",,,"9","2950000","cr","1","EMP155",,,,"0",,"2016-08-09 15:43:46","2016-08-09",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-3963","0",NULL,NULL,"492/16-17","2025","2016-08-09",,"2016-08-08",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX001437|2016-08-09|000020","2016-08-09",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","214224","04-2016_03-2017","000020",,"86",,NULL,,NULL,"EX001437|2016-08-09|000020","2016-08-09",,,"0000-00-00",,,"9","2950000","dr","1","EMP155",,,,"0",,"2016-08-09 15:43:46","2016-08-09","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-4909","0",NULL,NULL,"579/16-17","2025","2016-09-08",,"2016-09-01",NULL,NULL,NULL,NULL,"2750000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2750000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX001870|2016-09-08|000020","2016-09-08",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","223977","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX001870|2016-09-08|000020","2016-09-08",,,"0000-00-00",,,"9","2750000","cr","1","EMP155",,,,"0",,"2016-09-08 16:25:49","2016-09-08",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-4909","0",NULL,NULL,"579/16-17","2025","2016-09-08",,"2016-09-01",NULL,NULL,NULL,NULL,"2750000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2750000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX001870|2016-09-08|000020","2016-09-08",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","223978","04-2016_03-2017","000020",,"3471",,NULL,,NULL,"EX001870|2016-09-08|000020","2016-09-08",,,"0000-00-00",,,"9","2750000","dr","1","EMP155",,,,"0",,"2016-09-08 16:25:49","2016-09-08","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-5198","0",NULL,NULL,"631/16-17","2025","2016-09-21",,"2016-09-16",NULL,NULL,NULL,NULL,"2015000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2015000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX001961|2016-09-21|000020","2016-09-21",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","227829","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX001961|2016-09-21|000020","2016-09-21",,,"0000-00-00",,,"9","2015000","cr","1","EMP155",,,,"0",,"2016-09-21 15:28:33","2016-09-21",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-5198","0",NULL,NULL,"631/16-17","2025","2016-09-21",,"2016-09-16",NULL,NULL,NULL,NULL,"2015000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2015000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX001961|2016-09-21|000020","2016-09-21",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","227830","04-2016_03-2017","000020",,"86",,NULL,,NULL,"EX001961|2016-09-21|000020","2016-09-21",,,"0000-00-00",,,"9","2015000","dr","1","EMP155",,,,"0",,"2016-09-21 15:28:33","2016-09-21","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-5295","0",NULL,NULL,"661/16-17","2025","2016-09-26",,"2016-09-23",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX001978|2016-09-26|000020","2016-09-26",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","229082","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX001978|2016-09-26|000020","2016-09-26",,,"0000-00-00",,,"9","2950000","cr","1","EMP155",,,,"0",,"2016-09-26 16:26:38","2016-09-26",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-5295","0",NULL,NULL,"661/16-17","2025","2016-09-26",,"2016-09-23",NULL,NULL,NULL,NULL,"2950000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2950000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX001978|2016-09-26|000020","2016-09-26",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","229083","04-2016_03-2017","000020",,"86",,NULL,,NULL,"EX001978|2016-09-26|000020","2016-09-26",,,"0000-00-00",,,"9","2950000","dr","1","EMP155",,,,"0",,"2016-09-26 16:26:38","2016-09-26","1",,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
"INV-16-17-5387","0",NULL,NULL,"622/16-17","2025","2016-09-28",,"2016-08-16",NULL,NULL,NULL,NULL,"2165000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","0","2",NULL,"2165000","1",NULL,NULL,"000020",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,,,"0","0000-00-00 00:00:00","0",NULL,"0","0",NULL,NULL,NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0","0",NULL,NULL,NULL,NULL,"EX002023|2016-09-28|000020","2016-09-28",NULL,NULL,"0",NULL,"3",NULL,"0","0","0","000020","229862","04-2016_03-2017","000020",,"3073",,NULL,,NULL,"EX002023|2016-09-28|000020","2016-09-28",,,"0000-00-00",,,"9","2165000","cr","1","EMP155",,,,"0",,"2016-09-28 17:17:42","2016-09-28",,,,,"0000-00-00 00:00:00",NULL,"0",NULL,"0","9999","0","0",NULL
