"`ah_total_price` -  `calculated_purchase_value`","article_no","art_pos_no","sales_purchase_flag","charge_no","customer_supplier_no","customer_supplier","delivery_purchase_no","ar_er_no","price","ah_qty","tax","discount","ah_total_price","date","archive","company_id","bin_card_no","po_so_no","po_so_pos_no","uom_id","stock_place_id","op_flag","sub_company_id","ah_time","ah_qty_rel","batch_no","expiry_date","manuf_date","mrp","status","landed_rate","landed_total","ptr","rate_excise","value_rate_excise","calculated_purchase_price","calculated_purchase_value","plant_id","annexure_id","rg_flag","created_at","changed_at","remaining_batch_qty"
"-108000","LBL-HULL-000-1023","468505","0",NULL,"1738",NULL,"PGRIR-16-17-5475",NULL,"234","2160000","0","0","5054400","2017-02-24",NULL,"000020",,"PO-16-17-3649","1",,"1","0","000020","15:39:21","0","4604","2018-02-19","2017-02-20","234","0",NULL,NULL,NULL,"0","239","239","5162400",,NULL,"0","0000-00-00 00:00:00","2017-02-24 15:39:22",
"-378000","LBL-HULL-000-0926","468504","0",NULL,"1738",NULL,"PGRIR-16-17-5474",NULL,"153","12600000","0","0","19278000","2017-02-24",NULL,"000020",,"PO-16-17-3608","1",,"1","0","000020","15:37:17","0","4608","2018-02-20","2017-02-21","153","0",NULL,NULL,NULL,"0","156","156","19656000",,NULL,"0","0000-00-00 00:00:00","2017-02-24 15:37:18",
"-432500","LBL-HULL-000-0927","468503","0",NULL,"1738",NULL,"PGRIR-16-17-5473",NULL,"234","8650000","0","0","20241000","2017-02-24",NULL,"000020",,"PO-16-17-3608","1",,"1","0","000020","15:34:06","0","4606","2018-02-19","2017-02-20","234","0",NULL,NULL,NULL,"0","239","239","20673500",,NULL,"0","0000-00-00 00:00:00","2017-02-24 15:34:07",
"-175600","LBL-HULL-000-1142","467742","0",NULL,"1738",NULL,"PGRIR-16-17-5396",NULL,"80","8780000","0","0","7024000","2017-02-20",NULL,"000020",,"PO-16-17-3536","1",,"1","0","000020","11:01:52","0","4550","2018-02-15","2017-02-16","80","0",NULL,NULL,NULL,"0","82","82","7199600",,NULL,"0","0000-00-00 00:00:00","2017-02-20 11:01:53",
"-106000","LBL-HULL-000-1104","467741","0",NULL,"1738",NULL,"PGRIR-16-17-5395",NULL,"180","2650000","0","0","4770000","2017-02-20",NULL,"000020",,"PO-16-17-3649","1",,"1","0","000020","10:59:25","0","4554","2018-02-15","2017-02-16","180","0",NULL,NULL,NULL,"0","184","184","4876000",,NULL,"0","0000-00-00 00:00:00","2017-02-20 10:59:26",
"-345800","LBL-HULL-000-1142","467743","0",NULL,"1738",NULL,"PGRIR-16-17-5397",NULL,"80","17290000","0","0","13832000","2017-02-20",NULL,"000020",,"PO-16-17-3408","1",,"1","0","000020","11:03:51","0","4549","2018-02-01","2017-02-20","80","0",NULL,NULL,NULL,"0","82","82","14177800",,NULL,"0","0000-00-00 00:00:00","2017-02-20 11:03:51",
"-173040","LBL-HULL-000-1104","467506","0",NULL,"1738",NULL,"PGRIR-16-17-5347",NULL,"180","4326000","0","0","7786800","2017-02-18",NULL,"000020",,"PO-16-17-3607","1",,"1","0","000020","09:28:04","0","4512","2018-02-12","2017-02-13","180","0",NULL,NULL,NULL,"0","184","184","7959840",,NULL,"0","0000-00-00 00:00:00","2017-02-18 09:28:04",
"-246600","LBL-HULL-000-0926","467507","0",NULL,"1738",NULL,"PGRIR-16-17-5348",NULL,"153","8220000","0","0","12576600","2017-02-18",NULL,"000020",,"PO-16-17-3407","1",,"1","0","000020","09:29:48","0","4507","2018-02-12","2017-02-13","153","0",NULL,NULL,NULL,"0","156","156","12823200",,NULL,"0","0000-00-00 00:00:00","2017-02-18 09:29:49",
"-108000","LBL-HULL-000-1023","466686","0",NULL,"1738",NULL,"PGRIR-16-17-5258",NULL,"234","2160000","0","0","5054400","2017-02-13",NULL,"000020",,"PO-16-17-3407","1",,"1","0","000020","12:53:12","0","4452","2018-02-06","2017-02-07","234","0",NULL,NULL,NULL,"0","239","239","5162400",,NULL,"0","0000-00-00 00:00:00","2017-02-13 12:53:12",
"-270000","LBL-HULL-000-0927","466687","0",NULL,"1738",NULL,"PGRIR-16-17-5258",NULL,"234","5400000","0","0","12636000","2017-02-13",NULL,"000020",,"PO-16-17-3407","2",,"1","0","000020","12:53:13","0","4452","2018-02-06","2017-02-07","234","0",NULL,NULL,NULL,"0","239","239","12906000",,NULL,"0","0000-00-00 00:00:00","2017-02-13 12:53:13",
"-138432","LBL-HULL-000-0986","466264","0",NULL,"1738",NULL,"PGRIR-16-17-5212",NULL,"63","13843200","0","0","8721216","2017-02-10",NULL,"000020",,"PO-16-17-3384","1",,"1","0","000020","16:48:00","0","4436","2018-02-05","2017-02-06","63","0",NULL,NULL,NULL,"0","64","64","8859648",,NULL,"0","0000-00-00 00:00:00","2017-02-10 16:48:01",
"-58500","LBL-HULL-000-1136","466267","0",NULL,"1738",NULL,"PGRIR-16-17-5214",NULL,"63","5850000","0","0","3685500","2017-02-10",NULL,"000020",,"PO-16-17-3408","1",,"1","0","000020","17:02:20","0","4408","2018-02-02","2017-02-03","63","0",NULL,NULL,NULL,"0","64","64","3744000",,NULL,"0","0000-00-00 00:00:00","2017-02-10 17:02:21",
"-63000","LBL-HULL-000-1136","465545","0",NULL,"1738",NULL,"PGRIR-16-17-5153",NULL,"63","6300000","0","0","3969000","2017-02-07",NULL,"000020",,"PO-16-17-3384","1",,"1","0","000020","10:30:14","0","4391","2018-02-01","2017-02-02","63","0",NULL,NULL,NULL,"0","64","64","4032000",,NULL,"0","0000-00-00 00:00:00","2017-02-07 10:30:15",
"-319500","LBL-HULL-000-0928","465150","0",NULL,"1738",NULL,"PGRIR-16-17-5114",NULL,"153","10650000","0","0","16294500","2017-02-04",NULL,"000020",,"PO-16-17-3334","1",,"1","0","000020","16:13:49","0","4375","2018-01-31","2017-02-01","153","0",NULL,NULL,NULL,"0","156","156","16614000",,NULL,"0","0000-00-00 00:00:00","2017-02-04 16:13:50",
